"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P407_consistency_probe_bert-base-cased","finished","P407, probe","819","2021-12-05T17:53:52.000Z","bert-base-cased","P407","0.7909683078584046","0.30472500797218327","0.8501321448929885","50","0.8023610874623985","0.5375446960667462","0","0.8501052917600707","0.6779463243873979","0.0011668611435239206","-1","0","18","0.904052443384982","0.3767360298398506","1","0.8355184743742551","0.8691895113230036","8","176190","38594","0","10068","6712","0.5598343685300207"
"P39_consistency_probe_bert-base-cased","finished","P39, probe","175","2021-12-05T17:50:51.000Z","bert-base-cased","P39","0.6264566050888811","0.5763929355216098","0.8389473684210527","8","0.5934035087719298","0.15157894736842106","0.09896907216494844","0.5235772357723577","0.26597938144329897","0.05154639175257732","0.9305263157894736","4","6","-1","0.3817491350846212","1","0.5178947368421053","-1","0","14250","3800","1900","0","0","0.6684133915574964"
"P37_consistency_probe_bert-base-cased","finished","P37, probe","418","2021-12-05T17:43:48.000Z","bert-base-cased","P37","0.805356251463718","0.312347220219615","0.7884947267497603","14","0.804586129753915","0.5557046979865772","0.1388888888888889","0.8051717520629438","0.5766666666666667","0.39111111111111113","0.8626398210290828","6","9","-1","0.3927417482115961","1","0.7771812080536913","0.8812080536912752","4","53640","10430","4470","0","2980","0.8025435073627845"
"P407_consistency_probe_bert-base-uncased","finished","P407, probe","753","2021-12-05T17:43:07.000Z","bert-base-uncased","P407","1","0","1","50","1","1","0.003500583430571762","0","0","0","-1","0","18","1","0","0","0","1","8","176190","38594","0","10068","6712","1"
"P39_consistency_probe_bert-base-uncased","finished","P39, probe","154","2021-12-05T17:40:29.000Z","bert-base-uncased","P39","0.4983866585067318","0.6045520753308663","0.6026315789473684","8","0.4828070175438596","0.10105263157894737","0.02268041237113402","0.483076923076923","0.4391752577319587","0.07422680412371134","0.7115789473684211","4","6","-1","0.3918001703868085","1","0.8210526315789474","-1","0","14250","3800","1900","0","0","0.4815686274509804"
"P36_consistency_probe_bert-base-cased","finished","P36, probe","391","2021-12-05T17:37:13.000Z","bert-base-cased","P36","0.7263479592015794","0.32677802610741497","0.7971305152730639","28","0.7218095079866138","0.4665226781857452","0.025477707006369428","0.8606499883095627","0.6284501061571125","0.4416135881104034","0.8775069423017587","14","14","-1","0.37542881710216097","1","0.7105831533477321","0.7980561555075594","4","84266","12964","6482","0","1852","0.3809250451041496"
"P37_consistency_probe_bert-base-uncased","finished","P37, probe","389","2021-12-05T17:33:55.000Z","bert-base-uncased","P37","1","0","1","14","1","1","0.5055555555555555","0","0","0","1","6","9","-1","0","0","0","1","4","53640","10430","4470","0","2980","1"
"P364_consistency_probe_bert-base-cased","finished","P364, probe","238","2021-12-05T17:33:11.000Z","bert-base-cased","P364","0.8621367189487235","0.18877521441287576","0.848605577689243","8","0.8620628596724215","0.7450199203187251","0.30952380952380953","0.8563421828908555","0.5357142857142857","0.4351851851851852","0.8681938911022576","8","6","0.8933156263833555","0.35648746028077577","1","0.600265604249668","0.8459495351925631","8","22590","6024","6024","4518","6024","0.8706533776301218"
"P361_consistency_probe_bert-base-cased","finished","P361, probe","90","2021-12-05T17:31:37.000Z","bert-base-cased","P361","0.7794943820224719","0","-1","0","0.7794943820224719","0.7794943820224719","0.41420911528150134","0.8432601880877743","0.3941018766756032","0.36863270777479895","-1","0","2","-1","0","1","0.44803370786516855","-1","0","1424","0","0","0","0","0.727735368956743"
"P31_consistency_probe_bert-base-cased","failed","P31, probe","14","2021-12-05T17:31:19.000Z","bert-base-cased","P31","","","","","","","","","","","","","","","","","","","","","","","","",""
"P30_consistency_probe_bert-base-cased","finished","P30, probe","201","2021-12-05T17:27:54.000Z","bert-base-cased","P30","0.8738475749076308","0.14609251905412332","0.8432601880877743","2","0.8735632183908046","0.7857889237199582","0.01251303441084463","0.8785765379113019","0.903023983315954","0.7716371220020855","-1","0","4","-1","0.3358766552029899","1","0.9738766980146292","-1","0","11484","1914","0","0","0","0.6866666666666666"
"P36_consistency_probe_bert-base-uncased","finished","P36, probe","372","2021-12-05T17:27:38.000Z","bert-base-uncased","P36","1","0","1","28","1","1","0.4267515923566879","0","0","0","1","14","14","-1","0","0","0","1","4","84266","12964","6482","0","1852","1"
"P364_consistency_probe_bert-base-uncased","finished","P364, probe","216","2021-12-05T17:23:57.000Z","bert-base-uncased","P364","1","0","1","8","1","1","0.6706349206349206","0","0","0","1","8","6","1","0","0","0","1","8","22590","6024","6024","4518","6024","1"
"P361_consistency_probe_bert-base-uncased","finished","P361, probe","84","2021-12-05T17:22:28.000Z","bert-base-uncased","P361","0.7584269662921348","0","-1","0","0.7584269662921348","0.7584269662921348","0.561662198391421","0.84688995215311","0.2292225201072386","0.2225201072386059","-1","0","2","-1","0","1","0.29353932584269665","-1","0","1424","0","0","0","0","0.7216699801192843"
"P31_consistency_probe_bert-base-uncased","failed","P31, probe","13","2021-12-05T17:22:10.000Z","bert-base-uncased","P31","","","","","","","","","","","","","","","","","","","","","","","","",""
"P27_consistency_probe_bert-base-cased","finished","P27, probe","445","2021-12-05T17:20:24.000Z","bert-base-cased","P27","0.6729107722511513","0.46292746978873406","0.7228199775172636","52","0.6577070285316632","0.2766179540709812","0.07411273486430063","0.7107812822098536","0.267223382045929","0.20250521920668055","0.8961377870563675","4","9","-1","0.3884311840051752","1","0.5626304801670147","-1","0","68976","49816","3832","0","0","0.5894325112702201"
"P30_consistency_probe_bert-base-uncased","finished","P30, probe","182","2021-12-05T17:19:03.000Z","bert-base-uncased","P30","1","0","1","2","1","1","0.6506777893639207","0","0","0","-1","0","4","-1","0","0","0","-1","0","11484","1914","0","0","0","1"
"P279_consistency_probe_bert-base-cased","finished","P279, probe","208","2021-12-05T17:16:51.000Z","bert-base-cased","P279","0.7571945511649857","0.24798077924077244","0.7511135857461024","4","0.7525983667409057","0.6002227171492205","0.07888888888888888","0.8410493827160493","0.6133333333333333","0.5211111111111111","0.6659242761692651","2","4","-1","0.4077073087761938","1","0.7216035634743875","-1","0","10776","3592","1796","0","0","0.5233333333333333"
"P276_consistency_probe_bert-base-cased","finished","P276, probe","90","2021-12-05T17:15:16.000Z","bert-base-cased","P276","0.5425383542538355","0","0.5425383542538355","2","0.5425383542538355","0.5425383542538355","0.2198952879581152","0.6397849462365591","0.4581151832460733","0.31282722513089006","-1","0","2","-1","0","1","0.5188284518828452","-1","0","1434","1434","0","0","0","0.43768115942028984"
"P264_consistency_probe_bert-base-cased","finished","P264, probe","145","2021-12-05T17:12:47.000Z","bert-base-cased","P264","0.22823311134939964","0.6157268035500512","0.16459276018099547","136","0.1927319004524887","0","0","0.1801470588235294","0.05660377358490566","0","0.6230769230769231","20","17","-1","0.2690926865437939","1","0.5384615384615384","-1","0","14144","7072","1040","0","0","0.20741421568627452"
"P27_consistency_probe_bert-base-uncased","finished","P27, probe","408","2021-12-05T17:12:09.000Z","bert-base-uncased","P27","1","0","1","52","1","1","0.2421711899791232","0","0","0","1","4","9","-1","0","0","0","-1","0","68976","49816","3832","0","0","1"
