"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P364_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P364, probe","187","2022-01-16T14:54:26.000Z","../Thesis_code/models/houlsby_original_cased","P364","0.7679257610172872","0.3463530886771992","0.6593625498007968","8","0.7657370517928287","0.5630810092961488","0.23677248677248677","0.784390243902439","0.4788359788359789","0.3253968253968254","0.8668658698539177","8","6","0.9083665338645418","0.4282338347424889","1","0.5444887118193891","0.6640106241699867","8","22590","6024","6024","4518","6024","0.7434402332361516"
"P361_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P361, probe","74","2022-01-16T14:53:08.000Z","../Thesis_code/models/houlsby_original_cased","P361","0.8693820224719101","0","-1","0","0.8693820224719101","0.8693820224719101","0.5053619302949062","0.8959731543624161","0.3941018766756032","0.36863270777479895","-1","0","2","-1","0","1","0.41853932584269665","-1","0","1424","0","0","0","0","0.8502415458937198"
"P31_consistency_probe_../Thesis_code/models/houlsby_original_cased","failed","P31, probe","13","2022-01-16T14:52:50.000Z","../Thesis_code/models/houlsby_original_cased","P31","","","","","","","","","","","","","","","","","","","","","","","","",""
"P30_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P30, probe","152","2022-01-16T14:50:13.000Z","../Thesis_code/models/houlsby_original_cased","P30","0.6044981954411812","0.49609085288001153","0.3155694879832811","2","0.5959595959595959","0.3124346917450366","0.004171011470281543","0.5977011494252874","0.8873826903023984","0.30761209593326383","-1","0","4","-1","0.457659293799477","1","0.9696969696969696","-1","0","11484","1914","0","0","0","0.5402298850574713"
"P27_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P27, probe","350","2022-01-16T14:44:19.000Z","../Thesis_code/models/houlsby_original_cased","P27","0.5391998746417689","0.5670790749590088","0.5864380921792195","52","0.4978543261424264","0.06471816283924843","0.017745302713987474","0.5676937441643324","0.14613778705636743","0.04697286012526096","0.7927974947807933","4","9","-1","0.36230528686332913","1","0.4968684759916493","-1","0","68976","49816","3832","0","0","0.4288842784693407"
"P279_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P279, probe","158","2022-01-16T14:41:37.000Z","../Thesis_code/models/houlsby_original_cased","P279","0.7589829341455636","0.2694554034224476","0.7923162583518931","4","0.7548255382331106","0.5924276169265034","0.18","0.8031660692951016","0.5066666666666667","0.4133333333333334","0.6726057906458798","2","4","-1","0.41813103208533986","1","0.621380846325167","-1","0","10776","3592","1796","0","0","0.6754901960784314"
"P276_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P276, probe","73","2022-01-16T14:40:19.000Z","../Thesis_code/models/houlsby_original_cased","P276","0.4407252440725244","0","0.4407252440725244","2","0.4407252440725244","0.4407252440725244","0.2054973821989529","0.5420560747663551","0.4018324607329843","0.23298429319371727","-1","0","2","-1","0","1","0.4476987447698745","-1","0","1434","1434","0","0","0","0.35858585858585856"
"P264_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P264, probe","96","2022-01-16T14:38:38.000Z","../Thesis_code/models/houlsby_original_cased","P264","0.3115007751274441","0.6650619925213173","0.3042986425339366","136","0.28591628959276016","0","0","0.24915158371040724","0.05660377358490566","0","0.39615384615384613","20","17","-1","0.2987882494054192","1","0.5","-1","0","14144","7072","1040","0","0","0.32268099547511314"
"P20_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P20, probe","296","2022-01-16T14:33:38.000Z","../Thesis_code/models/houlsby_original_cased","P20","0.15733711973417544","0.42609318782450706","0.12974296205630356","12","0.1535670571778283","0.0036719706242350062","0","0.1735856735856736","0.3072215422276622","0.0036719706242350062","0.1587107303141575","30","8","-1","0.382098644708004","1","0.4296205630354958","-1","0","45752","9804","24510","0","0","0.1384886572654813"
"P19_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P19, probe","408","2022-01-16T14:26:46.000Z","../Thesis_code/models/houlsby_original_cased","P19","0.4180938739649034","0.5668564565925256","0.5072207958921694","36","0.4691484809584938","0.12066752246469832","0.05006418485237484","0.5152116402116402","0.1797175866495507","0.011553273427471117","0.4746469833119384","8","13","0.8385750962772786","0.35723676571964563","1","0.21566110397946084","-1","0","70110","24928","6232","6232","0","0.4564829969085288"
"P190_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P190, probe","127","2022-01-16T14:24:35.000Z","../Thesis_code/models/houlsby_original_cased","P190","0.5562136484308258","0.33924896703430024","-1","0","0.5553306342780027","0.3724696356275304","0.3561847988077496","0.4444444444444444","0.03427719821162444","0.013412816691505215","-1","0","4","-1","0.4432167094109235","1","0.08502024291497975","0.5890688259109311","4","2964","0","0","0","988","0.5656342182890856"
"P17_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P17, probe","123","2022-01-16T14:22:28.000Z","../Thesis_code/models/houlsby_original_cased","P17","0.8708435185270594","0.11050128064398096","0.8682766190998902","2","0.8708379070618368","0.8155872667398463","0.3969298245614035","0.9107551487414188","0.4649122807017544","0.4177631578947368","-1","0","3","-1","0.31351355253006385","1","0.4796926454445664","-1","0","5466","1822","0","0","0","0.8340365682137834"
"P178_consistency_probe_../Thesis_code/models/houlsby_original_cased","finished","P178, probe","360","2022-01-16T14:16:23.000Z","../Thesis_code/models/houlsby_original_cased","P178","0.6382199442121305","0.580205430799108","0.8054171573512093","38","0.6336058519793459","0.18760757314974183","0.04931972789115646","0.6276806526806527","0.6003401360544217","0.1377551020408163","0.7381908586727863","18","16","0.8927137119908204","0.3733359261008584","1","0.7383820998278829","-1","0","139440","22078","10458","3486","0","0.6503289473684211"
